customer_id,age,annual_income,total_spent,num_transactions,account_age_days,credit_score,loan_amount,city,segment,last_product,churn
CID-00000,43.0,10131.397566732092,1199.746693209341,12.0,948,810.0,65773.59211213875,Izmir,Bronze,Insurance,0
CID-00001,36.0,11585.225914858793,628.1551982696594,14.0,2693,850.0,1156.6315858996882,Bursa,Bronze,Savings,0
CID-00002,45.0,33962.82151258241,6272.922939558725,,1282,666.0,46115.616118377686,Bursa,Silver,Savings,0
CID-00003,56.0,18549.53964724484,1653.4854559712899,12.0,1881,597.0,1555.1175866459578,Mersin,Silver,Savings,1
CID-00004,35.0,15636.779905700443,1626.8845497442328,,1703,633.0,7405.417375158237,Bursa,Bronze,Insurance,0
CID-00005,35.0,56996.89242203989,595.8177636293441,,348,758.0,25882.196375925512,Ankara,Bronze,Credit Card,0
CID-00006,56.0,57893.1320438652,1545.5766558900539,12.0,65,654.0,27013.488472247514,Ankara,Silver,Credit Card,1
CID-00007,47.0,95711.74275431498,6568.755514470685,,1683,445.0,23291.592295626466,Izmir,Platinum,Credit Card,0
CID-00008,32.0,,1443.800643551583,19.0,284,710.0,718.1627399345331,Istanbul,Bronze,Loan,1
CID-00009,44.0,10000.0,9690.653034675459,16.0,1366,751.0,2568.1885681171693,Ankara,Silver,Credit Card,0
CID-00010,32.0,17586.021464275073,9358.425638486762,,991,721.0,49540.69286744939,Gaziantep,Bronze,Credit Card,0
CID-00011,32.0,215176.29114211653,500.91292781840167,,364,733.0,1529.484075646683,Gaziantep,Silver,Credit Card,0
CID-00012,40.0,49883.93540004961,624.5674997410063,13.0,3121,808.0,1472.441969249826,Bursa,Bronze,Investment,0
CID-00013,18.0,68033.2489421482,6353.274015800273,8.0,327,663.0,32503.180718844385,Bursa,Silver,Savings,0
CID-00014,18.0,10000.0,1596.2646150390708,9.0,1074,817.0,18453.12163731216,Ankara,Silver,Insurance,0
CID-00015,31.0,40163.09474670302,14.027443613691778,,507,667.0,7800.011017667837,Bursa,Gold,Investment,1
CID-00016,25.0,10000.0,1024.0919131584583,14.0,1821,,3261.1463830434986,Konya,Platinum,Savings,0
CID-00017,41.0,46319.980649917205,2913.2182831269565,19.0,2549,668.0,38801.43549220884,Adana,Silver,Credit Card,0
CID-00018,27.0,139447.60432507933,5138.478274798628,12.0,991,843.0,80436.54451359616,Istanbul,Silver,Credit Card,1
CID-00019,21.0,190036.2055513733,458.12683081291584,11.0,499,731.0,922.7436353368673,Adana,Silver,Investment,0
CID-00020,55.0,42775.203904256356,374.8552830577961,15.0,3450,672.0,14538.430425863262,Antalya,Silver,Insurance,0
